run	metric	query	value
summaryOnly	num_ret               	1	1000
summaryOnly	num_rel               	1	128
summaryOnly	num_rel_ret           	1	54
summaryOnly	map                   	1	0.0467
summaryOnly	Rprec                 	1	0.1172
summaryOnly	bpref                 	1	0.2501
summaryOnly	recip_rank            	1	0.125
summaryOnly	iprec_at_recall_0.00  	1	0.2609
summaryOnly	iprec_at_recall_0.10  	1	0.1304
summaryOnly	iprec_at_recall_0.20  	1	0.106
summaryOnly	iprec_at_recall_0.30  	1	0.0748
summaryOnly	iprec_at_recall_0.40  	1	0.0614
summaryOnly	iprec_at_recall_0.50  	1	0
summaryOnly	iprec_at_recall_0.60  	1	0
summaryOnly	iprec_at_recall_0.70  	1	0
summaryOnly	iprec_at_recall_0.80  	1	0
summaryOnly	iprec_at_recall_0.90  	1	0
summaryOnly	iprec_at_recall_1.00  	1	0
summaryOnly	P_5                   	1	0
summaryOnly	P_10                  	1	0.1
summaryOnly	P_15                  	1	0.2
summaryOnly	P_20                  	1	0.25
summaryOnly	P_30                  	1	0.2
summaryOnly	P_100                 	1	0.12
summaryOnly	P_200                 	1	0.105
summaryOnly	P_500                 	1	0.076
summaryOnly	P_1000                	1	0.054
summaryOnly	num_ret               	10	1000
summaryOnly	num_rel               	10	19
summaryOnly	num_rel_ret           	10	4
summaryOnly	map                   	10	0.002
summaryOnly	Rprec                 	10	0
summaryOnly	bpref                 	10	0
summaryOnly	recip_rank            	10	0.0102
summaryOnly	iprec_at_recall_0.00  	10	0.0156
summaryOnly	iprec_at_recall_0.10  	10	0.0156
summaryOnly	iprec_at_recall_0.20  	10	0.005
summaryOnly	iprec_at_recall_0.30  	10	0
summaryOnly	iprec_at_recall_0.40  	10	0
summaryOnly	iprec_at_recall_0.50  	10	0
summaryOnly	iprec_at_recall_0.60  	10	0
summaryOnly	iprec_at_recall_0.70  	10	0
summaryOnly	iprec_at_recall_0.80  	10	0
summaryOnly	iprec_at_recall_0.90  	10	0
summaryOnly	iprec_at_recall_1.00  	10	0
summaryOnly	P_5                   	10	0
summaryOnly	P_10                  	10	0
summaryOnly	P_15                  	10	0
summaryOnly	P_20                  	10	0
summaryOnly	P_30                  	10	0
summaryOnly	P_100                 	10	0.01
summaryOnly	P_200                 	10	0.01
summaryOnly	P_500                 	10	0.006
summaryOnly	P_1000                	10	0.004
summaryOnly	num_ret               	11	1000
summaryOnly	num_rel               	11	367
summaryOnly	num_rel_ret           	11	84
summaryOnly	map                   	11	0.0585
summaryOnly	Rprec                 	11	0.1553
summaryOnly	bpref                 	11	0.195
summaryOnly	recip_rank            	11	1
summaryOnly	iprec_at_recall_0.00  	11	1
summaryOnly	iprec_at_recall_0.10  	11	0.2547
summaryOnly	iprec_at_recall_0.20  	11	0.1149
summaryOnly	iprec_at_recall_0.30  	11	0
summaryOnly	iprec_at_recall_0.40  	11	0
summaryOnly	iprec_at_recall_0.50  	11	0
summaryOnly	iprec_at_recall_0.60  	11	0
summaryOnly	iprec_at_recall_0.70  	11	0
summaryOnly	iprec_at_recall_0.80  	11	0
summaryOnly	iprec_at_recall_0.90  	11	0
summaryOnly	iprec_at_recall_1.00  	11	0
summaryOnly	P_5                   	11	0.6
summaryOnly	P_10                  	11	0.5
summaryOnly	P_15                  	11	0.4
summaryOnly	P_20                  	11	0.3
summaryOnly	P_30                  	11	0.4
summaryOnly	P_100                 	11	0.27
summaryOnly	P_200                 	11	0.215
summaryOnly	P_500                 	11	0.13
summaryOnly	P_1000                	11	0.084
summaryOnly	num_ret               	12	1000
summaryOnly	num_rel               	12	111
summaryOnly	num_rel_ret           	12	41
summaryOnly	map                   	12	0.0401
summaryOnly	Rprec                 	12	0.1261
summaryOnly	bpref                 	12	0.1441
summaryOnly	recip_rank            	12	0.2
summaryOnly	iprec_at_recall_0.00  	12	0.25
summaryOnly	iprec_at_recall_0.10  	12	0.1429
summaryOnly	iprec_at_recall_0.20  	12	0.0909
summaryOnly	iprec_at_recall_0.30  	12	0.0579
summaryOnly	iprec_at_recall_0.40  	12	0
summaryOnly	iprec_at_recall_0.50  	12	0
summaryOnly	iprec_at_recall_0.60  	12	0
summaryOnly	iprec_at_recall_0.70  	12	0
summaryOnly	iprec_at_recall_0.80  	12	0
summaryOnly	iprec_at_recall_0.90  	12	0
summaryOnly	iprec_at_recall_1.00  	12	0
summaryOnly	P_5                   	12	0.2
summaryOnly	P_10                  	12	0.1
